,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
42,13.0, Warm White-Parisian Night, Warm White,,,, 394799_03
43,19.0, Reflex Blue C-PUMA White-Sedate Gray, Reflex Blue C,,,, 307936_02
44,13.0, For All Time Red-Dark Orange-PUMA Black,,,,, 395542_01
45,13.0, PUMA Black-PUMA Silver-Yellow Blaze,,,,, 378453_01
46,13.0, Puma Black-Gum, Pebble,,,, 381174_01
47,15.0, PUMA Black-Dusty Green-Neon Sun,,,,, 307648_04
48,19.0, Puma White, Puma Black, Puma White,,, 380190_01
49,13.0, PUMA Black-Shadow Gray, PUMA White,,,, 392718_01
50,13.0, For All Time Red-PUMA Black-Gray Fog, For All Time Red, Club Navy,,, 379601_02
51,13.0, Inky Blue-Persian Blue, Cast Iron,,,, 393152_01
52,13.0, Puma White-Puma White,,,,, 387286_01
53,18.0, PUMA Black-PUMA White-Dark Coal, Reflex Blue C,,,, 307936_01
54,13.0, PUMA Black, Cherry Tomato, Puma Black, PUMA Black, PUMA White, 376151_19
55,13.0, PUMA Black-Malachite-Yellow Burst,,,,, 378472_01
56,10.0, Rosso Corsa-PUMA Black,,,,, 307997_01
57,15.0, Puma Black-Puma White, Puma White, Peacoat,,, 384139_01
58,13.0, PUMA White-Racing Blue-Lemon Meringue-Parakeet Green,,,,, 107610_01
59,13.0, PUMA Black-Alpine Snow-PUMA Gold-PUMA White,,,,, 107609_01
60,13.0, Puma Black-CASTLEROCK, Cherry Tomato, Puma Black, PUMA Black, PUMA White, 376151_04
61,18.0, Puma White-Puma Team Gold, Puma White, Puma Black, PUMA White,, 386759_01
62,12.0, Pristine-Elektro Purple,,,,, 386329_06
63,19.0, PUMA White-PUMA Black,,,,, 307999_01
64,15.0, PUMA White-PUMA Navy-PUMA Silver,,,,, 397418_01
65,13.0, Ultra Blue-PUMA Black-PUMA Silver, Ultra Blue, Fire Orchid, Yellow Burst, Lime Pow, 377757_11
66,12.0, CASTLEROCK-Puma Black-High Risk Red,,,,, 385754_01
67,17.0, Alpine Snow-Warm White, Icy Blue,,,, 393747_01
68,13.0, PUMA White-Vapor Gray-Gum, PUMA Black,,,, 396464_01
69,12.0, PUMA White-PUMA Silver-Cherry Tomato, Cherry Tomato,,,, 380017_01
70,13.0, Puma White-Puma New Navy-Puma Team Gold, Puma White,,,, 364669_02
71,12.0, Puma White-Puma Black, Puma White, Peacoat,,, 384139_02
72,17.0, PUMA Black-PUMA White,,,,, 307789_01
73,13.0, PUMA White,,,,, 307784_02
74,13.0, PUMA Black-Feather Gray-Gum, PUMA Black,,,, 396464_03
75,15.0, For All Time Red-Dark Orange-PUMA Black,,,,, 395281_01
76,19.0, Granola-PUMA Black-Puma Team Gold, Granola,,,, 393490_04
77,19.0, PUMA Black-PUMA White, Rosso Corsa,,,, 307822_01
78,11.0, Eucalyptus-PUMA Black-Neon Sun,,,,, 377858_06
79,19.0, Rosso Corsa-Frosted Ivory,,,,, 307817_01
80,19.0, Sedate Gray-PUMA White,,,,, 396704_02
81,19.0, Sugared Almond-Prairie Tan, PUMA Black, PUMA White,,, 389267_10
82,13.0, Puma Black-Harbor Mist-Cherry Tomato, Cherry Tomato, Puma Black, PUMA Black, PUMA White, 376151_01
83,13.0, Concrete Gray-Flat Dark Gray, Concrete Gray,,,, 379139_03
84,11.0, Puma White-Puma Black-Puma Team Gold, Puma White,,,, 364669_01
85,12.0, Granola-Sand Dune-PUMA Black-Spring Fern,,,,, 395033_01
86,12.0, Cherry Tomato-PUMA Black, Cherry Tomato,,,, 380017_02
87,19.0, Pink Delight-PUMA Green, Pink Delight,,,, 393473_18
88,19.0, PUMA White-PUMA Navy,,,,, 394687_01
89,12.0, For All Time Red-Ultra Blue, PUMA White,,,, 195336_08
90,19.0, Cobalt Glaze-Pelé Yellow, Pink Delight,,,, 393473_17
91,13.0, PUMA Black-Pop Red,,,,, 307986_01
92,17.0, PUMA Black-Gray Tile-Fast Yellow, Cherry Tomato, Puma Black, PUMA Black, PUMA White, 376151_17
93,13.0, Fall Foliage-Alpine Snow-Cool Light Gray,,,,, 394057_01
94,20.0, PUMA Black-Asphalt, PUMA Black, Ultra Blue, Yellow Blaze,, 107311_02
95,13.0, PUMA White-PUMA White, PUMA White,,,, 307751_02
96,19.0, Alpine Snow-Chocolate Chip-Puma Team Gold, Granola,,,, 393490_03
97,12.0, PUMA White-PUMA Silver-Cherry Tomato,,,,, 379068_04
98,14.0, Icy Blue-Warm White, Icy Blue,,,, 393747_02
99,13.0, PUMA Black, Ultra Blue, Fire Orchid, Yellow Burst, Lime Pow, 377757_01
100,17.0, PUMA Black-Light Mint-PUMA White, PUMA Black,,,, 307920_02
101,13.0, Inky Blue-PUMA Black-Neon Sun, Inky Blue, Eucalyptus, Neon Sun, PUMA Black, 377745_03
102,17.0, PUMA Black-Cayenne-Wood Violet, Cherry Tomato, Puma Black, PUMA Black, PUMA White, 376151_13
