,Unnamed: 0,ShoeName,Category,no_of_colors,Price
182,182,"PUMA Cali Court Patent Women's Sneakers
PUMA White",Women,1 ,85.00
183,183,"Clyde Tokyo Sneakers
Sedate Gray-Pinktastic",Women,1 ,110.00
184,184,"Blacktop Rider Glimmer Women's Sneakers
Frosted Ivory-Warm White-Cashew",Women,1 ,90.00
185,185,"Pulsar Wedge Deboss Women's Sneakers
Pristine-Prairie Tan",Women,1 ,110.00
186,186,"Slipstream Iridescent Women's Sneaker 
Iridescent-PUMA White",Women,1 ,90.00
187,187,"Cali Wedge Tonal Women's Sneakers
Pristine-Marshmallow",Women,1 ,90.00
188,188,"CA Pro Suede Nubuck Sneakers
Sedate Gray-PUMA White",Women,1 ,100.00
189,189,"Magnify NITRO™ 2 Women's Running Shoes
Ash Gray-PUMA White-Yellow Burst-Vivid Violet",Women,2 ,140.00
190,190,"PUMA x LAUREN LONDON Suede Sneakers
PUMA White-PUMA White",Women,1 ,90.00
191,191,"PUMA x LAUREN LONDON RS-Trck Sneakers
PUMA White-Pristine",Women,1 ,130.00
192,192,"PUMA x CIELE Deviate NITRO™ 2 Women's Running Shoes
Vibrant Red",Women,2 ,160.00
193,193,"PUMA Cali Court Leather Women's Sneakers
PUMA White-PUMA White-PUMA Gold",Women,2 ,85.00
194,194,"Magnify NITRO™ 2 Women's Running Shoes
Icy Blue-Ultra Blue",Women,2 ,140.00
195,195,"CA Pro Classic Women's Sneakers
Puma White",Women,1 ,80.00
196,196,"Cali Dream West Coast Leather Women's Sneakers
PUMA White-PUMA Black",Women,4 ,90.00
197,197,"Dinara Women's Boots
PUMA Black",Women,2 ,100.00
198,198,"Cali Dream Women's Sneakers
Puma White-Puma Black-Gray Violet",Women,1 ,90.00
199,199,"Cali Dream West Coast Leather Women's Sneakers
PUMA Black-PUMA White",Women,4 ,90.00
200,200,"Cali Dream West Coast Leather Women's Sneakers
PUMA Black",Women,4 ,90.00
201,201,"Palermo Women's Sneakers
Fresh Mint-Fast Pink",Women,2 ,90.00
202,202,"Mayze Stack Injex Women's Sandals
PUMA Black",Women,2 ,60.00
203,203,"Electrify NITRO™ 3 Women's Running Shoes
PUMA Black-PUMA Silver",Women,3 ,100.00
204,204,"ForeverRUN NITRO™ Women's Running Shoes
Fire Orchid-PUMA Black-PUMA Silver",Women,2 ,150.00
205,205,"SEASONS Voyage NITRO™ 3 Women's Running Shoes
Eucalyptus-Alpine Snow-PUMA Black",Women,5 ,140.00
206,206,"STEWIE x WATER Stewie 2 Women's Basketball Shoes
Light Aqua-PUMA White",Women,1 ,125.00
207,207,"RS-X Reinvent Women's Sneakers
Dark Jasper-Warm White",Women,1 ,110.00
208,208,"Velocity NITRO™ 2 Women’s Running Shoes
Fire Orchid-Ultra Blue",Women,1 ,120.00
209,209,"Palermo Women's Leather Sneakers
PUMA Black-Feather Gray-Gum",Women,2 ,90.00
210,210,"Liberate NITRO™ 2 Women's Running Shoes
Icy Blue-PUMA Silver-Regal Blue",Women,2 ,120.00
211,211,"Mayze Stack Luxe Women's Sneakers
PUMA White-Warm White-Dark Jasper",Women,2 ,95.00
