,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
829,14,Dash Grey , Dash Grey , Lucid Pink , Core Black , Cloud White , GW4652
830,14,Core Black , Core Black , Cloud White , Core Black , Mineral Green , IE9670
831,17,Bliss , Core Black , Cloud White , Core Black , Mineral Green , HQ8396
832,14,Wonder Beige , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , ID9639
833,17,Blue Fusion , Blue Fusion ,,,, ID1747
834,14,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IE5465
835,14,Wonder Quartz S23 , Core Black , Non Dyed , Core Black , Core Black , HQ1443
836,21,Wonder Quartz S23 , Core Black ,,,, IG2372
837,18,Wonder Quartz S23 , Core Black ,,,, ID9675
838,14,Cloud White , Core Black , Core Black , Core Black , Grey Two , IE8211
839,24,Cloud White , Core Black , Core Black ,,, IF5268
840,14,Core Black , Core Black , Non Dyed , Core Black , Core Black , IG8337
841,14,Core Black , Core Black , Non Dyed ,,, ID0273
842,24,Carbon , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , ID9442
843,17,Core Black , Grey Two , Core Black , Utility Green , Core Black , GZ9261
844,16,Oatmeal , Oatmeal , Aluminium , Aluminium ,, ID9600
845,17,Gobi-Smc , Cloud White , Core Black , Ash Grey , Mystery Ink , HR0066
846,17,Silver Green , Clay Strata , Cloud White , Earth Strata S23 , Core Black , IF5603
847,17,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , IF8139
848,26,Core Black , Core Black ,,,, ID9676
849,25,Cloud White , Bliss Orange , Off White , Shadow Navy S22 , Grey Three , IG2374
850,14,Core Black , Core Black , Core Black , Core Black , Grey Two , GZ9256
851,7,Dash Grey , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , ID9584
852,24,Carbon , Carbon ,,,, GZ9260
853,17,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IF5274
854,25,Cloud White , Dash Grey , Lucid Pink , Core Black , Cloud White , IF5282
855,24,Chalk White , Bliss Orange , Off White , Shadow Navy S22 , Grey Three , IF5605
856,24,Pulse Mint S22 , Wonder Red F22 , Cloud White , Pulse Mint S22 , Core Black , IG5877
857,24,Off White , Grey Two , Core Black , Utility Green , Core Black , ID9639
858,24,Core Black , Cloud White , Core Black , Bliss Lilac , Pink Fusion , ID1747
859,24,Core Black , Core Black ,,,, IE5465
860,26,Arctic Night F23 , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , HQ1443
861,17,Core Black , Dash Grey , Lucid Pink , Core Black , Cloud White , IG2372
862,24,Grey Three , Core Black , Core Black , Core Black , Shadow Navy , ID9675
863,18,Core Black , Core Black , Cloud White , Core Black , Mineral Green , IE8211
864,18,Silver Dawn , Silver Dawn , Core Black , Grey One , Core Black , IF5268
865,20,Core Black , Grey Five , Core Black , Chalk White , Cloud White , IG8337
866,20,Wonder Silver , Wonder Silver ,,,, ID0273
867,14,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , ID9442
868,14,Wonder Mauve , Legacy Purple , Core Black , Wonder Mauve , Grey Two , GZ9261
869,20,Legacy Burgundy S22 , Core Black , Cloud White , Core Black , Mineral Green , ID9600
870,25,Cloud White , Cloud White , Core Black , Off White , Cloud White , IF5603
871,21,Arctic Night , Silver Dawn , Core Black , Grey One , Core Black , GY6256
872,25,Bold Onix , Core Black , Core Black , Core Black , Grey Two , FV7227
873,25,Pink Fusion , Silver Dawn , Core Black , Grey One , Core Black , IF3220
874,25,Unity Orange , Shock Slime , Unity Orange ,,, ID9241
875,19,Core Black , Cloud White , Core Black , Off White , Cloud White , IG5822
876,19,Grey One , Silver Dawn , Core Black , Grey One , Core Black , IG3126
877,24,Cloud White , Cloud White , Core Black , Off White , Cloud White , ID9222
878,24,Grey One , Core Black , Core Black , Core Black , Shadow Navy , HQ4244
879,14,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , IE9224
880,24,Cloud White , Core Black ,,,, GW4622
881,24,Core Black , Wonder Red F22 , Wonder Steel F22 , Core Black , Wonder Taupe , IE9620
882,21,Grey Two , Legacy Purple , Core Black , Wonder Mauve , Grey Two , HQ8326
883,21,Cloud White , Grey Five , Core Black , Chalk White , Cloud White , ID9629
884,21,Cloud White , Beam Pink F22 , Bliss Orange , Cloud White , Cloud White , ID1727
885,14,Pulse Mint , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IE5425
886,14,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , HQ1423
887,14,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , IG2322
888,14,Linen Green F22 , Core Black , Cloud White , Core Black , Mineral Green , ID9625
889,14,Cloud White , Cloud White , Core Black , Off White , Cloud White , IE8221
890,16,Oatmeal , Oatmeal , Aluminium , Aluminium ,, IF5228
891,14,Beam Pink F22 , Beam Pink F22 , Bliss Orange , Cloud White , Cloud White , IG8327
892,14,Core Black , Clay Strata S23 , Core Black , Shadow Violet ,, ID0223
893,14,Wonder White F21 , Core Black , Cloud White , Core Black , Mineral Green , ID9422
894,14,Core Black , Team Collegiate Red , Core Black , Cloud White , Cloud White , GZ9221
895,17,Wonder Red F22 , Legacy Purple , Core Black , Wonder Mauve , Grey Two , ID9620
896,27,Cloud White , Core Black , Core Black , Core Black , Shadow Navy , HR0026
897,27,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IF5623
898,27,Wonder Beige , Core Black , Wonder Beige , Solar Green , Collegiate Gold , IF8129
899,27,Off White , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , ID9626
900,6,"Black, Graphite",,,,, BM8525-010
901,7,,,,,, BM3926-010
902,11,"Black, Owl",,,,, YM8651-010
903,9,,,,,, BM9083-373
